City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
33,Georgetown,MY,5.4112,100.3354,82.89,91,20,3.44,few clouds
34,Pochutla,MX,15.7432,-96.4661,86.83,72,100,3.33,overcast clouds
35,Kaitangata,NZ,-46.2817,169.8464,44.74,86,97,2.42,overcast clouds
36,Victoria,HK,22.2855,114.1577,87.33,84,0,5.99,clear sky
37,Husavik,IS,66.0449,-17.3389,49.98,82,87,3.51,overcast clouds
38,Saint George,US,37.1041,-113.5841,111.63,11,10,10.0,clear sky
39,Port Elizabeth,ZA,-33.918,25.5701,46.69,93,0,2.3,clear sky
40,Kapaa,US,22.0752,-159.319,82.11,71,25,7.0,scattered clouds
41,Dubbo,AU,-32.25,148.6167,50.13,81,40,11.5,scattered clouds
42,Saskylakh,RU,71.9167,114.0833,50.92,65,100,7.29,overcast clouds
43,Quatre Cocos,MU,-20.2078,57.7625,69.1,70,86,17.9,overcast clouds
44,Busselton,AU,-33.65,115.3333,58.48,79,71,9.19,broken clouds
45,Fortuna,US,40.5982,-124.1573,69.93,73,41,7.0,scattered clouds
46,Dikson,RU,73.5069,80.5464,43.18,93,100,15.77,light rain
47,Samarai,PG,-10.6167,150.6667,81.16,76,24,5.7,few clouds
48,Waitati,NZ,-45.75,170.5667,43.97,89,100,1.19,overcast clouds
49,Souillac,MU,-20.5167,57.5167,68.38,88,40,12.66,scattered clouds
50,Okhotsk,RU,59.3833,143.3,61.34,81,100,4.47,overcast clouds
51,Ahipara,NZ,-35.1667,173.1667,58.42,67,83,7.16,broken clouds
52,Upernavik,GL,72.7868,-56.1549,45.32,96,100,13.02,overcast clouds
53,Vila Velha,BR,-20.3297,-40.2925,73.35,89,75,2.3,broken clouds
54,Aktash,RU,50.3,87.7333,41.97,90,100,5.32,overcast clouds
55,Poum,NC,-20.2333,164.0167,77.59,83,99,23.26,overcast clouds
56,Pisco,PE,-13.7,-76.2167,62.65,77,100,14.97,overcast clouds
57,Labuhan,ID,-6.8844,112.2051,75.18,85,94,8.7,overcast clouds
58,Te Anau,NZ,-45.4167,167.7167,39.22,91,67,1.21,broken clouds
59,Heihe,CN,50.2441,127.4902,66.78,78,89,6.76,overcast clouds
60,Carutapera,BR,-1.195,-46.02,76.06,90,54,6.46,broken clouds
61,Honningsvag,NO,70.9821,25.9704,53.35,87,100,23.02,overcast clouds
62,Jamestown,US,42.097,-79.2353,82.06,58,0,14.97,clear sky
63,Egvekinot,RU,66.3167,-179.1667,45.23,52,85,10.69,overcast clouds
64,Constitucion,CL,-35.3333,-72.4167,53.17,88,49,10.83,scattered clouds
65,Bluff,NZ,-46.6,168.3333,43.81,81,90,8.12,overcast clouds
66,Sao Filipe,CV,14.8961,-24.4956,74.79,86,88,6.2,overcast clouds
67,Tabas,IR,33.5959,56.9244,89.8,12,0,4.18,clear sky
68,Punta Arenas,CL,-53.15,-70.9167,32.11,93,20,20.71,light rain
69,Thompson,CA,55.7435,-97.8558,66.36,63,75,6.91,broken clouds
70,Hasaki,JP,35.7333,140.8333,84.29,85,64,17.07,broken clouds
71,Pali,IN,25.7667,73.3333,82.96,75,92,13.15,overcast clouds
72,Port Alfred,ZA,-33.5906,26.891,57.18,77,0,8.39,clear sky
73,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,3.44,overcast clouds
74,Ornskoldsvik,SE,63.2909,18.7153,63.55,94,100,9.22,light intensity drizzle
75,Carnarvon,AU,-24.8667,113.6333,60.28,76,43,16.31,scattered clouds
76,Bandarbeyla,SO,9.4942,50.8122,76.44,79,15,29.26,few clouds
77,Hulan Ergi,CN,47.2042,123.6333,76.8,65,3,3.78,clear sky
78,Ivdel,RU,60.6911,60.4206,59.61,68,94,5.48,overcast clouds
79,Asfi,MA,32.2994,-9.2372,79.43,60,100,10.25,overcast clouds
80,Bredasdorp,ZA,-34.5322,20.0403,47.19,88,100,3.65,overcast clouds
81,Koslan,RU,63.4564,48.8989,58.75,77,11,5.35,few clouds
82,Portland,US,45.5234,-122.6762,89.26,49,13,5.01,few clouds
83,San Patricio,US,28.017,-97.5169,95.18,50,33,19.1,scattered clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,51.1,67,0,5.75,clear sky
85,Wairoa,NZ,-39.0333,177.3667,48.54,82,100,14.0,overcast clouds
86,Rawlins,US,41.7911,-107.2387,89.35,5,1,20.96,clear sky
