City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
181,Richards Bay,ZA,66.18,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
182,Ardakan,IR,86.95,clear sky,32.31,54.0175,Ardakan Hotel
183,Lancaster,US,88.18,scattered clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
184,Pacific Grove,US,84.24,scattered clouds,36.6177,-121.9166,Lovers Point Inn
185,Rudsar,IR,76.37,broken clouds,37.1376,50.288,Hotel Bahar
186,Norman Wells,CA,73.44,broken clouds,65.282,-126.8329,Heritage Hotel
187,Udachnyy,RU,50.45,overcast clouds,66.4167,112.4,Severnoye Siyaniye
188,Coruripe,BR,72.88,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
189,Gravdal,NO,53.42,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
190,Meulaboh,ID,77.2,overcast clouds,4.1363,96.1285,Kost Pria
193,Niquero,CU,85.86,few clouds,20.0431,-77.5828,Islazul Niquero
194,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
195,Abdulino,RU,58.71,broken clouds,53.7,53.6667,Hotel Lazur
197,Beira,MZ,69.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
198,Batemans Bay,AU,53.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
199,Yulara,AU,51.21,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
200,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
201,Cidreira,BR,62.64,overcast clouds,-30.1811,-50.2056,Hotel Castelo
202,Buinsk,RU,62.65,overcast clouds,54.95,48.2833,"Landysh, Gostinitsa"
203,Grindavik,IS,53.55,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
204,Torbay,CA,68.77,broken clouds,47.6666,-52.7314,Gallows Cove
205,Tera,NE,89.51,overcast clouds,14.0078,0.7531,Hotel Daressalam Téra
208,Geraldton,AU,54.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
209,Sragen,ID,72.07,overcast clouds,-7.4264,111.0222,Graha Hotel Sragen
210,Tuktoyaktuk,CA,55.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
211,Lensk,RU,62.74,overcast clouds,60.7253,114.9278,ТинОрС
212,Esna,EG,89.62,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
213,Hofn,IS,50.74,scattered clouds,64.2539,-15.2082,Hótel Höfn
215,Katsuura,JP,82.42,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
216,Anadyr,RU,54.1,scattered clouds,64.75,177.4833,Отке17.ру — жильё для командированных
217,Narsaq,GL,50.77,few clouds,60.9167,-46.05,Sleep In Narsaq
218,Bengkulu,ID,74.66,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
219,Salto,UY,64.87,light rain,-31.3833,-57.9667,Gran Hotel Uruguay
220,Namibe,AO,62.78,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
221,Naples,IT,81.21,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
222,Palanga,LT,69.82,few clouds,55.9175,21.0686,"Hotel ""Austėja"""
223,Puerto Escondido,MX,84.52,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
224,Belgaum,IN,67.95,overcast clouds,15.8667,74.5,Hotel Rakshit International
226,Oktyabrskoye,RU,64.54,light intensity drizzle,43.0645,44.7417,Prolesok Mini-hotel
228,Marihatag,PH,79.56,light rain,8.7936,126.2969,Mariner's Place & Resort
229,Muros,ES,68.09,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
230,Port Hardy,CA,59.18,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
231,Svetlyy,RU,70.97,few clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
232,Saint-Ambroise,CA,76.82,broken clouds,48.5501,-71.3324,Motel Saint-Ambroise
233,Zhigalovo,RU,59.45,overcast clouds,54.8097,105.1578,"Hotel ""Lenatur"""
234,Chapais,CA,64.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
235,Agotnes,NO,54.16,scattered clouds,60.4061,5.0189,Lauvøy As
236,Cap Malheureux,MU,69.48,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
238,Krasnoselkup,RU,50.63,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
239,Lakatoro,VU,81.39,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
240,Menongue,AO,51.37,clear sky,-14.6585,17.691,Ritz Lauca
241,Alta Floresta,BR,76.75,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
243,Shihezi,CN,73.06,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
244,Traverse City,US,85.98,clear sky,44.7631,-85.6206,Bayshore Resort
245,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
246,Marrakesh,MA,91.47,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
247,Abnub,EG,82.62,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
248,Vilhena,BR,82.62,clear sky,-12.7406,-60.1458,Hotel Mirage
249,Lamu,KE,74.08,light rain,-2.2717,40.902,Lamu House
250,Sorong,ID,78.48,few clouds,-0.8833,131.25,Waigo Splash Hotel
251,Erzin,TR,74.55,clear sky,36.9559,36.2,Artemis Otel
252,Goderich,CA,80.92,clear sky,43.7501,-81.7165,Harmony Inn
253,Sabang,ID,82.71,overcast clouds,5.8933,95.3214,Hotel Citra
254,High Level,CA,53.71,heavy intensity rain,58.5169,-117.136,Days Inn by Wyndham High Level
255,Bocaiuva,BR,69.51,clear sky,-17.1078,-43.815,Hotel Maxim's
256,Warrington,GB,63.32,broken clouds,53.3925,-2.5802,Villaggio Hotel
257,Grand Forks,US,85.93,scattered clouds,47.9417,-97.4337,Warrior Inn
258,Palana,RU,57.76,clear sky,59.1167,159.9667,Chikago
259,Haines Junction,CA,64.35,overcast clouds,60.7522,-137.5108,Parkside Inn
260,Sao Mateus,BR,68.09,few clouds,-18.7161,-39.8589,Hotel Rio Norte
262,Recco,IT,82.15,clear sky,44.3623,9.1435,Albergo Augusta
263,Vieux-Habitants,GP,81.97,clear sky,16.0589,-61.7659,Clos du Manguier
264,Kaeo,NZ,59.32,broken clouds,-35.1,173.7833,Bushido Lodge
265,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
266,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
268,Preobrazheniye,RU,64.27,overcast clouds,42.9019,133.9064,Campsite Orlan
270,Grand Gaube,MU,69.39,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
271,Tarakan,ID,76.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
272,Isangel,VU,79.68,clear sky,-19.55,169.2667,Tanna Lodge
273,Road Town,VG,82.44,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
274,Hun,LY,77.43,clear sky,29.1268,15.9477,Alrwasi Hotel
275,Anori,BR,79.27,broken clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
276,Cayenne,GF,83.08,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
278,Pestovo,RU,57.54,scattered clouds,58.5938,35.8024,Отель Вокруг света
279,Vardo,NO,53.58,overcast clouds,70.3705,31.1107,Vardø Hotel AS
280,Matay,EG,78.96,clear sky,28.419,30.7792,Nag Aespen
282,Pemangkat,ID,78.08,light rain,1.1667,108.9667,Ramah Kost KITA
283,Coromandel,BR,64.74,few clouds,-18.4733,-47.2003,Hotel Dona Adélia
284,El Carmen,CO,71.89,overcast clouds,8.5106,-73.4478,Hotel La Casona
285,Mahajanga,MG,68.02,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
289,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
290,Vestmannaeyjar,IS,51.78,overcast clouds,63.4427,-20.2734,Glamping & Camping
291,Santa Maria,BR,69.1,clear sky,-29.6842,-53.8069,Hotel Morotin
294,Port Lincoln,AU,55.4,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
295,Varzea Da Palma,BR,69.48,clear sky,-17.5981,-44.7308,Casa Fernandes
296,Itarare,BR,63.25,broken clouds,-24.1125,-49.3317,Hospedaria Frei Caneca
297,Kotelnikovo,RU,64.62,few clouds,47.6317,43.1461,Seven Kings Kotelnikovo
300,Fukue,JP,78.04,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
301,Rio Cuarto,AR,56.97,clear sky,-33.1307,-64.3499,Hotel Menossi
302,Hami,CN,73.08,clear sky,42.8,93.45,Laoyutang Resort
305,Nadaun,IN,77.49,overcast clouds,31.7833,76.35,Shivashakti biotechnologies branch office nadaun hamirpur
307,Lima,PE,59.25,overcast clouds,-12.0432,-77.0282,Hotel Kamana
308,Weligama,LK,76.95,moderate rain,5.9667,80.4167,Weligama Bay Resort
309,Krosno Odrzanskie,PL,69.66,broken clouds,52.0549,15.0988,Noclegi Krosno Odrzańskie
311,Ketchikan,US,62.56,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
312,Khash,IR,79.79,scattered clouds,28.2211,61.2158,خوابگاه آبجی محدثه
313,Hope,US,89.65,overcast clouds,33.6671,-93.5916,Best Western Hope
314,Taltal,CL,59.0,clear sky,-25.4,-70.4833,Residencial Karime
315,Kananga,CD,73.98,scattered clouds,-5.8958,22.4178,Guest House Wood Land
316,Yeniseysk,RU,56.77,overcast clouds,58.4497,92.1703,"""Domino"""
321,Bilma,NE,93.02,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
323,Lubumbashi,CD,58.5,few clouds,-11.6609,27.4794,Glo Flats
324,Lazaro Cardenas,MX,87.01,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
325,Biloela,AU,61.59,moderate rain,-24.4167,150.5,Silo Motor Inn Biloela
326,Sur,OM,86.41,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
327,Ibirataia,BR,64.51,scattered clouds,-14.0669,-39.6406,Pousada e Restaurante Tambuque
328,Mecca,SA,86.09,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
329,Igarka,RU,54.61,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
330,Lexington Park,US,87.12,broken clouds,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
331,Sechura,PE,70.81,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
332,Livingston,GB,58.86,clear sky,55.9029,-3.5226,Mercure Livingston Hotel
333,Kodiak,US,53.11,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
334,Chuy,UY,51.85,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
335,Montepuez,MZ,62.92,few clouds,-13.1256,38.9997,PembaAparthotel
336,Santa Cruz,BO,80.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
337,Juba,SS,69.03,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
338,Waingapu,ID,75.31,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
339,The Valley,AI,84.34,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
341,Yazman,PK,83.55,light rain,29.1212,71.7446,Jamal sons showroom
342,Thenzawl,IN,68.59,overcast clouds,23.3167,92.75,Grace Indane Gramin Vitrak Godown
343,Mabaruma,GY,75.85,broken clouds,8.2,-59.7833,Monty Brooms Guest House
344,Dong Hoi,VN,77.36,overcast clouds,17.4833,106.6,Nam Long Hotel
345,Waw,SS,70.39,overcast clouds,7.7029,27.9953,Universal Gab Hotel
347,Havoysund,NO,53.83,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
348,Wanxian,CN,78.96,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
349,Lasa,IT,69.37,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
352,Nyurba,RU,55.87,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
354,Cartagena Del Chaira,CO,72.01,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
355,San Fernando,PH,82.13,broken clouds,15.0286,120.6898,Maharlika Hostel
357,Hobyo,SO,75.47,few clouds,5.3505,48.5268,Iftin hotel hobyo
358,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
359,Seaford,GB,66.09,scattered clouds,50.7714,0.1027,Premier Inn Newhaven hotel
